player,season,AGE,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,OFFRTG,DEFRTG,player_possessions,WS,win_score_final,win_score_final_40_game_season,wins_per_100_poss,Pos,Player
Monique Currie,26156,390,9739,4253,1348,3365,284,841,1273,1546,399,1267,740,724,378,114,1137,1241.1,1284.6,19014.741,29.2,14.74,17.34,0.08,F,Monique Currie
Kamila Vodichkova,14021,217,4815,1767,662,1487,31,103,412,531,336,695,279,381,173,111,596,676.1,658.7,8730.083,13.4,14.31,17.20,0.16,F,Kamila Vodichkova
Sami Whitcomb,16164,260,4884,1821,620,1573,425,1178,156,180,94,519,515,349,213,49,390,781.1,793.4,9998.41025,9,13.87,17.10,0.14,G,Sami Whitcomb
Rushia Brown,14000,203,3856,1246,474,990,3,9,295,386,279,427,191,277,221,80,505,655.2,637.7,6770.76525,13.9,13.11,16.88,0.19,F,Rushia Brown
Betnijah Laney-Hamilton,18178,241,5718,2228,855,1895,197,549,321,402,183,600,569,435,202,21,418,893.9,900,11551.26875,9.6,14.04,16.84,0.12,G,Betnijah Laney-Hamilton
Jennifer Gillom,14000,259,5868,2888,1048,2457,153,471,639,843,279,685,255,434,220,103,629,662.4,650.7,10698.02575,21.1,12.87,16.83,0.12,F,Jennifer Gillom
Marissa Coleman,20135,275,6707,2140,744,2008,315,922,337,442,254,741,399,396,236,88,541,966.5,979.5,13112.30525,9.7,14.27,16.79,0.11,G,Marissa Coleman
Ruthie Bolton,16004,276,5101,2175,764,2085,312,976,335,451,225,455,352,260,254,7,436,769.8,757.5,9355.49675,17.7,13.04,16.69,0.14,G,Ruthie Bolton
Kahleah Copper,18180,234,6944,3645,1328,2973,284,815,705,896,192,867,420,517,177,40,642,895.5,919.9,14233.35975,10.5,13.69,16.49,0.10,G,Kahleah Copper
Ukari Figgs,10005,125,3883,980,307,769,162,434,204,239,60,291,470,232,129,10,205,500.5,457.3,7012.28225,11.7,13.29,16.46,0.19,G,Ukari Figgs
Elaine Powell,20035,285,5715,1495,543,1304,58,181,351,502,232,421,728,469,255,51,440,930.6,942.8,10636.72025,10.3,13.61,16.39,0.13,G,Elaine Powell
Marlies Askamp,11997,177,3211,1027,356,810,1,6,314,442,355,467,111,185,97,71,393,551.9,536.6,5632.14025,13.1,12.68,16.30,0.23,C,Marlies Askamp
Briann January,28217,413,10141,3082,1007,2619,381,1013,687,813,169,494,1339,771,386,60,921,1410.1,1362.1,19671.02775,17.5,13.09,15.75,0.07,G,Briann January
Essence Carson,26182,364,7364,2647,1025,2536,223,692,374,472,205,628,445,405,285,121,497,1235.5,1241.1,14402.72225,11.6,13.57,15.67,0.09,G,Essence Carson
LaToya Sanders,14096,194,2733,879,339,674,1,2,200,238,242,453,154,133,107,207,329,714.2,683.7,5398.806,11.5,13.15,15.47,0.24,F,LaToya Sanders
Mistie Bass,20110,280,4087,1303,522,1018,0,8,259,433,361,527,210,244,157,126,414,961.4,941.3,8092.9585,12.7,12.96,15.25,0.16,F,Mistie Bass
Riquna Williams,20171,281,5475,2659,872,2267,407,1110,508,589,105,460,387,265,260,65,493,1008,998.3,11049.336,17.4,12.19,15.24,0.11,G,Riquna Williams
Kristin Folkl,8002,102,2828,734,286,623,11,48,151,208,169,494,167,144,75,85,260,366.7,377.2,5060.6895,8.8,12.03,15.04,0.24,F,Kristin Folkl
Sue Wicks,11997,201,3388,819,314,778,5,37,186,269,262,518,180,278,156,153,462,563.9,519.3,5994.444,7.2,11.62,14.80,0.19,F,Sue Wicks
Myisha Hines-Allen,14147,189,3602,1571,607,1392,111,316,246,328,237,731,381,276,149,51,392,690.8,706.1,7276.897,9,10.93,14.69,0.15,F,Myisha Hines-Allen
Dominique Canty,28077,413,9051,2763,922,2396,17,96,902,1299,354,607,1042,685,356,36,831,1309.1,1338.6,16614.141,11.9,12.24,14.60,0.07,G,Dominique Canty
Kedra Holland-Corn,14015,197,5547,1938,664,1657,307,901,303,426,156,310,423,438,301,33,405,666.5,645.5,10194.697,13.2,11.89,14.51,0.12,G,Kedra Holland-Corn
Layshia Clarendon,22200,310,6309,2168,811,1879,107,337,439,542,202,554,911,536,195,7,609,1053.2,1084,12570.0855,8.9,12.15,14.32,0.10,G,Layshia Clarendon
Jennifer Azzi,10005,165,4888,1288,391,877,158,345,348,412,44,315,636,281,112,42,435,485.8,488,8904.08775,14.4,11.54,14.31,0.13,G,Jennifer Azzi
Tamika Whitmore,22044,308,8541,3359,1268,2931,92,290,731,984,436,919,347,600,251,155,940,1038.9,1021.7,15516.051,14.1,11.84,14.21,0.08,F,Tamika Whitmore
Tiffani Johnson,14014,189,3860,851,337,749,0,2,177,232,260,518,128,182,63,96,396,652.1,608.9,6815.25825,10.5,11.47,14.06,0.17,C,Tiffani Johnson
Shameka Christon,22103,312,7432,3039,980,2609,434,1269,645,785,206,661,389,424,205,165,734,1058.1,1081.5,14002.84275,16.2,11.87,13.96,0.08,G,Shameka Christon
Tierra Ruffin-Pratt,16132,212,5125,1456,486,1361,83,261,401,522,224,575,424,255,194,77,550,785.3,781.4,10085.71875,8.6,11.55,13.86,0.11,G,Tierra Ruffin-Pratt
Adrienne Goodson,14014,252,6456,2705,1050,2398,48,196,557,749,493,633,433,542,203,30,512,674.5,683.2,11697.4505,12.1,11.35,13.84,0.10,F,Adrienne Goodson
Helen Darling,20053,273,6373,1304,394,1223,144,478,372,516,139,495,882,575,343,32,709,919.4,914.1,11685.5415,5.8,11.44,13.74,0.10,G,Helen Darling
Monique Billings,14147,182,4138,1315,495,1123,4,22,321,419,407,822,196,279,154,102,458,673.8,699.6,8458.15525,7.2,11.34,13.72,0.13,F,Monique Billings
Odyssey Sims,22209,297,7853,3272,1176,2965,208,760,712,872,166,553,1111,583,309,38,549,1116,1116.5,15594.67025,12.6,11.70,13.60,0.08,G,Odyssey Sims
Stefanie Dolson,22209,308,7661,2967,1163,2325,239,586,402,468,347,1206,624,546,142,290,982,1103.9,1083.9,15374.62875,20.5,11.43,13.48,0.07,C,Stefanie Dolson
Brandy Reed,10000,120,2197,1175,465,966,33,94,212,255,151,273,174,194,115,48,147,463.7,451.5,3891.16525,11.1,10.60,13.40,0.27,F,Brandy Reed
Sugar Rodgers,16132,220,4501,1733,584,1627,317,916,248,304,111,495,393,269,168,76,445,760.6,758.9,9019.2375,9.6,11.02,13.30,0.12,G,Sugar Rodgers
Svetlana Abrosimova,20058,258,6371,2414,877,2217,235,669,425,650,313,765,551,631,352,49,613,927,952.6,11915,9.7,11.09,13.29,0.09,F,Svetlana Abrosimova
Loree Moore,10035,125,4017,917,326,902,138,413,127,188,123,417,562,339,255,19,314,453.3,482.4,7664.27575,5.1,11.28,13.27,0.15,G,Loree Moore
